Site,Plot,Row,Column,Species,C_E_or_T,Rep,Number_seeds_sown,February_germination,Number_germinated,Notes_germination
1,A,1,1,TROR,E,1,15,0,8,NA
1,A,1,2,PLDE,E,1,15,0,3,Plus 1g
1,A,1,3,LARO,C,2,15,0,4,Swap
1,A,1,4,VERO,E,3,15,0,7,NA; kangaroo 0
1,A,1,5,HYGL,E,3,15,0,0,NA
1,A,1,6,TRCY,T,1,15,0,0,Swap
1,A,1,7,PEAI,C,1,25,6,6,NA
1,A,1,8,PEAI,T,2,25,8,11,Plus 1g
1,A,1,9,PEAI,E,1,15,2,1,NA
1,A,2,1,ARCA,E,3,15,4,6,Swap
1,A,2,2,PLDE,E,2,15,0,1,NA
1,A,2,3,LARO,E,3,15,0,7,Swap; kangaroo 0
1,A,2,4,PLDE,C,1,15,0,1,NA; kangaroo 0
1,A,2,5,VERO,E,1,15,0,2,Swap
1,A,2,6,HYGL,C,3,15,0,1,NA
1,A,2,7,TRCY,E,2,15,0,10,NA
1,A,2,8,ARCA,C,1,15,2,1,NA
1,A,2,9,PEAI,E,3,25,6,9,NA
1,A,3,1,TROR,C,3,15,0,1,NA
1,A,3,2,VERO,T,2,15,0,7,NA
1,A,3,3,POLE,E,3,15,0,0,NA
1,A,3,4,POLE,T,2,15,0,0,NA
1,A,3,5,HYGL,T,2,15,0,0,NA
1,A,3,6,TROR,T,2,15,0,5,NA
1,A,3,7,TRCY,C,2,15,1,8,Swap
1,A,3,8,HYGL,E,2,15,0,0,NA
1,A,3,9,TROR,C,2,15,0,7,Swap
1,A,4,1,TROR,T,1,15,0,0,Swap
1,A,4,2,PLDE,C,3,15,0,5,NA
1,A,4,3,POLE,E,1,15,0,0,NA
1,A,4,4,POLE,T,1,15,0,0,NA
1,A,4,5,TRCY,C,3,15,0,9,NA
1,A,4,6,VERO,C,2,15,3,2,Swap
1,A,4,7,LARO,C,3,15,0,6,NA
1,A,4,8,VERO,C,1,15,0,1,NA
1,A,4,9,VERO,T,4,15,0,5,"Actually a VERO, renamed** does it have neighbours?"
1,A,5,1,VERO,E,2,15,0,1,NA
1,A,5,2,TRCY,E,1,15,0,9,NA
1,A,5,8,POLE,E,2,15,0,0,NA
1,A,5,9,LARO,E,2,15,0,4,Swap
1,A,6,1,ARCA,C,2,15,5,4,NA
1,A,6,2,HYGL,E,1,15,0,2,NA
1,A,6,8,ARCA,T,2,15,3,1,NA
1,A,6,9,VERO,C,3,15,0,1,NA
1,A,7,1,HYGL,C,2,15,0,0,NA
1,A,7,2,HYGL,T,1,15,0,0,NA
1,A,7,8,ARCA,E,1,25,5,5,NA
1,A,7,9,ARCA,T,1,25,8,2,Swap
1,A,8,1,PLDE,E,3,15,0,2,NA
1,A,8,2,PEAI,E,2,25,6,8,Plus 1g
1,A,8,3,ARCA,C,3,25,7,2,NA
1,A,8,4,ARCA,E,2,15,3,8,Check flower; looks like I added more seed -this one was the culprit!
1,A,8,6,LARO,E,1,15,0,1,NA
1,A,8,7,PEAI,C,3,15,2,1,NA
1,A,8,8,PLDE,T,1,15,0,0,Swap
1,A,8,9,TROR,C,1,15,0,5,Swap
1,A,9,1,PLDE,C,2,15,0,5,Swap
1,A,9,2,PEAI,T,1,25,11,0,NA
1,A,9,3,LARO,C,1,15,0,2,NA
1,A,9,4,POLE,C,2,15,0,0,NA
1,A,9,6,TRCY,T,2,15,0,0,NA
1,A,9,7,LARO,T,2,15,0,2,Swap
1,A,9,8,TROR,E,3,15,0,1,NA
1,A,9,9,TRCY,C,1,15,0,14,Swap
1,A,10,1,LARO,C,2,15,0,4,Swap
1,A,10,2,HYGL,C,1,15,0,0,NA
1,A,10,3,VERO,T,1,15,0,2,NA
1,A,10,4,TROR,E,2,15,0,7,Swap
1,A,10,6,TRCY,E,3,15,0,10,"Swap. Almost dead, collect soon"
1,A,10,7,PEAI,C,2,15,4,0,NA
1,A,10,8,POLE,C,3,15,0,0,NA
1,A,10,9,POLE,C,1,15,0,0,NA
1,B,1,1,PLDE,T,2,15,0,1,NA
1,B,1,2,POLE,C,2,15,0,0,NA
1,B,1,3,TRCY,T,2,15,0,0,NA
1,B,1,4,TROR,C,1,15,0,9,NA
1,B,1,5,VERO,T,2,15,0,0,NA
1,B,1,6,HYGL,E,2,15,0,0,NA
1,B,1,7,TROR,T,1,15,0,1,NA
1,B,1,8,ARCA,C,2,15,1,2,NA
1,B,1,9,HYGL,C,1,15,0,1,NA
1,B,2,1,VERO,E,3,15,1,0,NA
1,B,2,2,ARCA,T,1,25,6,4,NA
1,B,2,3,PLDE,E,2,15,0,3,NA
1,B,2,4,TRCY,C,3,15,0,12,Plus 1g
1,B,2,5,POLE,E,2,15,0,NA,Probably not my seed
1,B,2,6,HYGL,E,3,15,0,0,NA
1,B,2,7,HYGL,E,1,15,0,2,NA
1,B,2,8,TROR,C,3,15,0,10,NA
1,B,2,9,ARCA,E,1,15,1,7,Plus 2g
1,B,3,1,HYGL,T,2,15,0,0,NA
1,B,3,2,POLE,C,1,15,0,0,NA
1,B,3,3,PLDE,C,3,15,0,8,Swap
1,B,3,4,PEAI,E,1,15,0,8,"Accidentally pulled it all out; then plug 1g, thinned"
1,B,3,5,LARO,C,3,15,0,6,NA
1,B,3,6,PEAI,C,3,15,0,2,Swap
1,B,3,7,LARO,E,3,15,0,4,NA
1,B,3,8,TRCY,C,2,15,0,8,NA
1,B,3,9,HYGL,C,2,15,0,1,Plus 1g
1,B,4,1,TROR,T,2,15,0,6,NA
1,B,4,2,HYGL,C,3,15,0,2,NA
1,B,4,3,TRCY,E,2,15,0,5,NA
1,B,4,4,ARCA,C,3,15,3,1,NA
1,B,4,5,TROR,E,3,15,0,1,NA
1,B,4,6,PEAI,C,1,15,0,4,NA
1,B,4,7,LARO,C,1,15,0,4,NA
1,B,4,8,VERO,E,1,15,1,1,NA
1,B,4,9,PLDE,C,1,15,0,9,NA
1,B,5,1,TROR,E,1,15,0,1,NA
1,B,5,2,PLDE,T,1,15,0,8,NA
1,B,5,8,VERO,E,2,15,0,3,NA
1,B,5,9,LARO,E,2,15,0,8,NA
1,B,6,1,PEAI,T,1,25,9,0,NA
1,B,6,2,HYGL,T,1,15,0,0,NA
1,B,6,8,LARO,T,1,15,0,4,NA
1,B,6,9,POLE,E,1,15,0,0,"One that could be mine, B (budding)"
1,B,7,1,TROR,C,2,15,0,3,NA
1,B,7,2,TRCY,C,1,15,0,10,NA
1,B,7,8,POLE,C,3,15,0,2,Swap
1,B,7,9,PEAI,T,2,NA,NA,NA,Not sown
1,B,8,1,VERO,C,3,15,0,5,NA
1,B,8,2,ARCA,C,1,25,6,6,Swap
1,B,8,3,LARO,C,2,15,0,7,NA
1,B,8,4,TRCY,E,1,15,0,14,NA
1,B,8,6,ARCA,T,2,25,8,0,NA
1,B,8,7,ARCA,E,3,15,5,1,NA
1,B,8,8,ARCA,E,2,15,5,7,NA
1,B,8,9,POLE,E,3,15,0,2,Swap
1,B,9,1,VERO,T,1,15,0,0,NA
1,B,9,2,TRCY,E,3,15,0,11,NA
1,B,9,3,LARO,T,2,15,0,4,NA
1,B,9,4,PLDE,E,1,15,0,1,Swap
1,B,9,6,VERO,C,2,15,0,1,NA
1,B,9,7,PLDE,C,2,15,0,4,NA
1,B,9,8,PEAI,E,2,15,0,5,Plus 1g
1,B,9,9,PLDE,E,3,15,0,5,NA
1,B,10,1,TROR,E,2,15,0,6,NA
1,B,10,2,PEAI,C,2,15,3,0,NA
1,B,10,3,TRCY,T,1,15,0,11,NA
1,B,10,4,PEAI,E,3,15,0,3,NA
1,B,10,6,LARO,E,1,15,0,9,NA
1,B,10,7,POLE,T,2,15,0,0,NA
1,B,10,8,POLE,T,1,15,0,NA,"Plot trampled, kangaroo"
1,B,10,9,VERO,C,1,15,0,1,NA
1,C,1,1,PLDE,C,1,15,0,10,NA
1,C,1,2,VERO,C,2,15,1,10,Swap
1,C,1,3,PLDE,T,1,15,0,7,NA
1,C,1,4,LARO,T,2,15,0,5,NA
1,C,1,5,HYGL,T,2,15,0,0,Swap
1,C,1,6,TROR,T,1,15,0,0,Swap
1,C,1,7,POLE,C,2,15,0,0,NA
1,C,1,8,LARO,E,1,15,0,2,NA
1,C,1,9,TRCY,T,1,15,0,0,Swap
1,C,2,1,VERO,E,2,15,0,6,Swap
1,C,2,2,PEAI,C,3,25,6,8,Plus 3g
1,C,2,3,ARCA,E,3,15,1,2,"Missed a flower head, one seed collected from it"
1,C,2,4,POLE,E,1,15,0,1,NA
1,C,2,5,TROR,C,3,15,0,7,Swap
1,C,2,6,POLE,T,1,15,0,0,NA
1,C,2,7,TROR,E,2,15,0,3,Swap
1,C,2,8,PLDE,T,2,15,0,0,NA
1,C,2,9,TROR,E,3,15,0,4,NA
1,C,3,1,HYGL,C,1,15,0,0,NA
1,C,3,2,PEAI,C,1,15,1,1,NA
1,C,3,3,TRCY,C,2,15,0,8,NA
1,C,3,4,HYGL,C,3,15,0,2,Swap
1,C,3,5,TROR,C,2,15,0,4,Swap
1,C,3,6,LARO,C,2,15,0,1,NA
1,C,3,7,PEAI,E,2,15,4,1,NA
1,C,3,8,PLDE,E,2,15,0,5,NA
1,C,3,9,POLE,E,2,15,0,0,NA
1,C,4,1,PLDE,E,3,15,0,3,NA
1,C,4,2,PLDE,C,2,15,0,13,Plus 2g
1,C,4,3,HYGL,T,1,15,0,0,NA
1,C,4,4,TRCY,C,3,15,0,8,Swap
1,C,4,5,TROR,E,1,15,0,3,Swap
1,C,4,6,TRCY,C,1,15,0,8,Swap
1,C,4,7,TRCY,C,1,15,0,3,NA
1,C,4,8,VERO,E,3,15,1,1,Probably not my seed
1,C,4,9,LARO,C,3,15,0,3,NA
1,C,5,1,POLE,C,3,15,0,0,NA
1,C,5,2,POLE,E,3,15,0,0,NA
1,C,5,8,ARCA,E,2,15,2,1,Swap
1,C,5,9,HYGL,E,3,15,0,4,NA
1,C,6,1,ARCA,T,2,15,1,1,NA
1,C,6,2,VERO,C,3,15,1,1,NA
1,C,6,8,LARO,C,1,15,0,1,NA
1,C,6,9,TROR,T,2,15,0,2,Swap
1,C,7,1,PEAI,T,1,15,1,0,NA
1,C,7,2,POLE,C,1,15,0,0,NA
1,C,7,8,LARO,T,1,15,0,0,Swap
1,C,7,9,POLE,T,2,15,0,0,NA
1,C,8,1,PLDE,E,1,15,0,1,NA
1,C,8,2,ARCA,E,1,15,3,2,NA
1,C,8,3,LARO,E,2,15,0,2,NA
1,C,8,4,PEAI,E,1,25,4,6,Swap; plus 1g
1,C,8,6,PLDE,C,3,15,0,3,NA
1,C,8,7,VERO,T,2,15,0,0,NA
1,C,8,8,TRCY,E,2,15,0,1,Swap
1,C,8,9,ARCA,T,1,15,1,1,NA
1,C,9,1,LARO,E,3,15,0,4,Swap
1,C,9,2,ARCA,C,1,15,4,3,NA
1,C,9,3,TROR,C,1,15,0,6,Swap; just alive - kangaroo damage
1,C,9,4,ARCA,C,2,25,7,2,Swap; kangaroo 0
1,C,9,6,VERO,C,2,15,0,0,Swap
1,C,9,7,ARCA,C,3,15,2,0,NA
1,C,9,8,VERO,E,1,15,1,1,Swap
1,C,9,9,HYGL,C,2,15,0,7,NA
1,C,10,1,PEAI,T,2,15,3,0,Swap
1,C,10,2,PEAI,C,2,25,5,3,NA
1,C,10,3,VERO,C,1,15,1,5,NA
1,C,10,4,TRCY,E,3,15,0,12,NA
1,C,10,6,HYGL,E,1,15,0,0,NA
1,C,10,7,PEAI,E,3,15,1,0,NA
1,C,10,8,TRCY,T,2,15,0,0,Swap
1,C,10,9,HYGL,E,2,15,0,0,NA
2,A,1,1,LARO,T,1,15,0,5,NA
2,A,1,2,TROR,E,2,15,0,1,NA
2,A,1,3,ARCA,C,1,15,0,9,NA
2,A,1,4,LARO,T,2,15,0,6,NA
2,A,1,5,VERO,E,3,15,0,8,Swap
2,A,1,6,POLE,T,2,15,0,0,NA
2,A,1,7,POLE,C,1,15,0,2,NA
2,A,1,8,ARCA,C,2,15,0,5,Plus 1g
2,A,1,9,HYGL,C,3,15,0,5,NA
2,A,2,1,HYGL,E,1,15,0,6,Plus 1g
2,A,2,2,HYGL,E,3,15,0,5,NA
2,A,2,3,TROR,T,2,15,0,5,NA
2,A,2,4,POLE,T,1,15,0,0,NA
2,A,2,5,TROR,E,3,15,0,5,NA
2,A,2,6,HYGL,T,2,15,0,0,NA
2,A,2,7,TROR,C,2,15,0,7,Swap
2,A,2,8,PEAI,T,1,15,0,4,Plus 1g
2,A,2,9,POLE,C,2,15,0,0,NA
2,A,3,1,PLDE,C,1,15,0,4,NA
2,A,3,2,LARO,E,1,15,0,4,NA
2,A,3,3,TRCY,E,2,15,0,4,"Tore off some leaves removing D, still many"
2,A,3,4,PEAI,C,3,15,0,8,NA
2,A,3,5,TRCY,T,2,15,0,14,NA
2,A,3,6,LARO,C,3,15,0,7,NA
2,A,3,7,LARO,E,2,15,0,8,NA
2,A,3,8,PEAI,E,3,15,0,5,Plus 1g
2,A,3,9,TROR,C,3,15,0,3,NA
2,A,4,1,PLDE,E,3,15,0,9,Swap
2,A,4,2,PEAI,T,2,15,0,0,NA
2,A,4,3,ARCA,E,1,15,0,7,NA
2,A,4,4,TROR,C,1,15,0,1,NA
2,A,4,5,POLE,E,3,15,0,0,NA
2,A,4,6,TRCY,E,3,15,0,9,Swap
2,A,4,7,PEAI,E,1,15,0,2,NA
2,A,4,8,ARCA,C,3,15,0,2,NA
2,A,4,9,HYGL,C,2,15,0,3,NA
2,A,5,1,HYGL,E,2,15,0,3,NA
2,A,5,2,ARCA,E,2,15,0,4,NA
2,A,5,8,PEAI,C,2,15,0,7,NA
2,A,5,9,PLDE,T,1,15,0,0,Swap
2,A,6,1,LARO,C,1,15,0,7,NA
2,A,6,2,TRCY,T,1,15,0,0,Swap
2,A,6,8,LARO,E,3,15,0,1,NA
2,A,6,9,VERO,E,2,15,0,10,NA
2,A,7,1,TRCY,E,1,15,0,2,Plus 1g
2,A,7,2,ARCA,E,3,15,0,4,NA
2,A,7,8,PLDE,E,1,15,0,10,NA
2,A,7,9,VERO,C,2,15,0,7,NA
2,A,8,1,POLE,E,2,15,0,0,NA
2,A,8,2,VERO,E,1,15,0,10,NA
2,A,8,3,ARCA,T,1,15,0,1,NA
2,A,8,4,PLDE,C,2,15,0,1,NA
2,A,8,6,PLDE,E,2,15,0,6,NA
2,A,8,7,VERO,C,1,15,0,11,Plus 2g
2,A,8,8,TROR,T,1,15,0,0,Swap
2,A,8,9,TRCY,C,1,15,0,2,NA
2,A,9,1,VERO,T,1,15,0,7,Swap
2,A,9,2,POLE,E,1,15,0,0,NA
2,A,9,3,PLDE,T,2,15,0,0,NA
2,A,9,4,ARCA,T,2,15,0,2,NA
2,A,9,6,LARO,C,2,15,0,7,NA
2,A,9,7,TRCY,C,3,15,0,9,NA
2,A,9,8,TRCY,C,2,15,0,10,NA
2,A,9,9,PLDE,C,3,15,0,0,NA
2,A,10,1,HYGL,T,1,15,0,0,NA
2,A,10,2,VERO,T,2,15,0,10,Swap; plus 1g; not thinned 'C' plot
2,A,10,3,TROR,E,1,15,0,2,Plus 1g
2,A,10,4,PEAI,C,1,15,0,5,NA
2,A,10,6,PEAI,E,2,15,0,4,NA
2,A,10,7,VERO,C,3,15,0,6,NA
2,A,10,8,HYGL,C,1,15,0,2,NA
2,A,10,9,POLE,C,3,15,0,1,NA
2,B,1,1,TROR,T,2,15,0,0,NA
2,B,1,2,PEAI,E,2,15,0,13,Plus 4 g
2,B,1,3,VERO,E,2,15,0,13,NA
2,B,1,4,ARCA,C,2,15,0,2,Swap
2,B,1,5,ARCA,E,1,15,0,3,NA
2,B,1,6,TRCY,C,1,15,0,10,Swap
2,B,1,7,ARCA,C,1,15,0,1,NA
2,B,1,8,TROR,E,2,15,0,1,NA
2,B,1,9,TRCY,T,2,15,0,0,Swap
2,B,2,1,ARCA,T,2,15,0,0,Swap
2,B,2,2,TRCY,E,1,15,0,4,NA
2,B,2,3,LARO,T,1,15,0,2,NA
2,B,2,4,PLDE,E,3,15,0,8,NA
2,B,2,5,TRCY,C,2,15,0,1,NA
2,B,2,6,VERO,E,1,15,0,8,NA
2,B,2,7,LARO,C,2,15,0,6,NA
2,B,2,8,TROR,C,1,15,0,3,NA
2,B,2,9,TRCY,E,3,15,0,2,Swap
2,B,3,1,ARCA,C,3,15,0,3,NA
2,B,3,2,LARO,C,1,15,0,10,NA
2,B,3,3,POLE,T,1,15,0,0,Swap
2,B,3,4,LARO,E,2,15,0,8,NA
2,B,3,5,PEAI,E,1,15,0,8,Plus 1g
2,B,3,6,ARCA,E,2,15,0,2,NA
2,B,3,7,POLE,T,2,15,0,0,NA
2,B,3,8,TRCY,T,1,15,0,0,Swap
2,B,3,9,PLDE,C,1,15,0,10,NA
2,B,4,1,HYGL,E,1,15,0,3,NA
2,B,4,2,TROR,C,3,15,0,1,NA
2,B,4,3,ARCA,T,1,15,0,1,Late germination
2,B,4,4,PLDE,T,2,15,0,0,Swap
2,B,4,5,LARO,T,2,15,0,5,NA
2,B,4,6,PEAI,C,1,15,0,8,Plus 3g
2,B,4,7,VERO,T,2,15,0,8,NA
2,B,4,8,POLE,E,2,15,0,2,Swap
2,B,4,9,TROR,E,1,15,0,7,NA
2,B,5,1,LARO,C,3,15,0,9,NA
2,B,5,2,HYGL,C,1,15,0,4,NA
2,B,5,8,TRCY,C,3,15,0,4,NA
2,B,5,9,LARO,E,1,15,0,4,NA
2,B,6,1,TRCY,E,2,15,0,6,Tore off a leaf trying to remove D
2,B,6,2,VERO,C,3,15,0,11,NA
2,B,6,8,PEAI,C,2,15,0,10,Plus 1g
2,B,6,9,PEAI,T,1,15,0,9,NA
2,B,7,1,PLDE,C,3,15,0,11,Swap
2,B,7,2,POLE,E,3,15,0,0,NA
2,B,7,8,HYGL,T,2,15,0,5,Swap
2,B,7,9,ARCA,E,3,15,0,0,NA
2,B,8,1,PEAI,C,3,15,0,6,NA
2,B,8,2,VERO,E,3,15,0,13,NA
2,B,8,3,TROR,C,2,15,0,7,NA
2,B,8,4,POLE,C,2,15,0,1,NA
2,B,8,6,TROR,T,1,15,0,0,NA
2,B,8,7,VERO,T,1,15,0,7,NA
2,B,8,8,PLDE,E,2,15,0,11,NA
2,B,8,9,PLDE,C,2,15,0,10,NA
2,B,9,1,TROR,E,3,15,0,2,NA
2,B,9,2,PLDE,E,1,15,0,7,Swap
2,B,9,3,HYGL,C,3,15,0,4,NA
2,B,9,4,PLDE,T,1,15,0,0,Swap
2,B,9,6,VERO,C,2,15,0,10,NA
2,B,9,7,VERO,C,1,15,0,6,NA
2,B,9,8,LARO,E,3,15,0,5,NA
2,B,9,9,PEAI,E,3,15,0,0,NA
2,B,10,1,HYGL,E,3,15,0,5,Swap
2,B,10,2,HYGL,T,1,15,0,5,Swap
2,B,10,3,POLE,C,1,15,0,5,New germs! Check. Later: 0
2,B,10,4,HYGL,E,2,15,0,1,NA
2,B,10,6,PEAI,T,2,15,0,7,Not thinned
2,B,10,7,POLE,C,3,15,0,0,NA
2,B,10,8,POLE,E,1,15,0,2,NA
2,B,10,9,HYGL,C,2,15,0,2,Swap
2,C,1,1,ARCA,E,1,15,0,7,Plus 3g
2,C,1,2,PLDE,E,2,15,0,5,Plus 1g
2,C,1,3,POLE,C,2,15,0,1,NA
2,C,1,4,ARCA,E,3,15,0,2,NA
2,C,1,5,TRCY,E,2,15,0,8,Plus 1g
2,C,1,6,PLDE,C,1,15,0,2,NA
2,C,1,7,VERO,C,1,15,0,2,NA
2,C,1,8,PLDE,T,1,15,0,9,Swap
2,C,1,9,POLE,C,1,15,0,2,Plus 2g
2,C,2,1,VERO,E,1,15,0,2,NA
2,C,2,2,POLE,E,2,15,0,0,NA
2,C,2,3,HYGL,E,2,15,0,1,NA
2,C,2,4,VERO,E,3,15,0,1,NA
2,C,2,5,ARCA,T,1,15,0,0,NA
2,C,2,6,VERO,C,3,15,0,4,NA
2,C,2,7,HYGL,E,1,15,0,12,Not HYGL. Wrong ID.
2,C,2,8,TRCY,E,1,15,0,2,NA
2,C,2,9,LARO,T,2,15,0,3,NA
2,C,3,1,TROR,E,2,15,0,10,NA
2,C,3,2,LARO,E,1,15,0,5,NA
2,C,3,3,TRCY,T,1,15,0,0,Swap
2,C,3,4,LARO,C,3,15,0,3,NA
2,C,3,5,PEAI,C,2,15,0,7,Plus 1g
2,C,3,6,VERO,E,2,15,0,9,NA
2,C,3,7,TROR,T,1,15,0,8,NA
2,C,3,8,ARCA,C,2,15,0,4,NA
2,C,3,9,VERO,T,1,15,0,7,NA
2,C,4,1,LARO,E,2,15,0,7,NA
2,C,4,2,HYGL,E,3,15,0,0,NA
2,C,4,3,VERO,C,2,15,0,10,"Pod broke off, four seeds"
2,C,4,4,ARCA,C,1,15,0,4,NA
2,C,4,5,VERO,T,2,15,0,8,NA
2,C,4,6,TRCY,C,1,15,0,8,NA
2,C,4,7,LARO,C,1,15,0,5,NA
2,C,4,8,TRCY,C,3,15,0,10,Plus 2g
2,C,4,9,TROR,C,1,15,0,6,NA
2,C,5,1,TROR,E,1,15,0,11,NA
2,C,5,2,HYGL,C,1,15,0,4,NA
2,C,5,8,TROR,C,3,15,0,4,NA
2,C,5,9,PEAI,T,2,15,0,0,Swap
2,C,6,1,TRCY,T,2,15,0,8,NA
2,C,6,2,HYGL,E,3,15,0,4,Swap
2,C,6,8,POLE,E,3,15,0,1,NA
2,C,6,9,TROR,C,2,15,0,2,NA
2,C,7,1,LARO,E,3,15,0,4,NA
2,C,7,2,PLDE,E,3,15,0,10,NA
2,C,7,8,HYGL,T,1,15,0,0,NA
2,C,7,9,ARCA,E,2,15,0,5,Plus 1g
2,C,8,1,PEAI,E,2,15,0,7,Plus 2g
2,C,8,2,LARO,C,2,15,0,9,Swap
2,C,8,3,PEAI,E,1,15,0,2,NA
2,C,8,4,PLDE,C,2,15,0,13,Swap
2,C,8,6,ARCA,T,2,15,0,1,NA
2,C,8,7,TRCY,E,3,15,0,1,NA
2,C,8,8,TRCY,C,2,15,0,8,NA
2,C,8,9,POLE,E,1,15,0,1,NA
2,C,9,1,POLE,C,4,15,0,5,Accidental POLE plot; swap; renamed for POLE (used to be PLDE E2); not thinned
2,C,9,2,ARCA,C,3,15,0,4,NA
2,C,9,3,POLE,T,1,15,0,0,NA
2,C,9,4,TROR,T,2,15,0,4,NA
2,C,9,6,TROR,E,3,15,0,4,NA
2,C,9,7,PEAI,C,3,15,0,7,Plus 1g
2,C,9,8,PLDE,E,1,15,0,5,NA
2,C,9,9,PLDE,C,3,15,0,9,NA
2,C,10,1,POLE,T,2,15,0,0,Swap
2,C,10,2,PEAI,C,1,15,0,5,Plus 1g
2,C,10,3,POLE,C,3,15,0,1,Swap
2,C,10,4,PEAI,E,3,15,0,4,Plus 1g
2,C,10,6,LARO,T,1,15,0,5,Swap
