Site,Plot,Species,C_E_or_T,Rep,No_viable_seeds,No_inviable_seeds,Counted_by,Notes
6,B,LARO,E,2,5,12,AC,3 flowers
2,C,POLE,C,1,19,54,AC,
8,B,PEAI,C,1,46,1,AC,
3,C,PEAI,E,3,134,0,AC,
2,C,PLDE,C,2,32,0,AC,
3,B,PEAI,E,3,53,3,AC,
2,C,PLDE,E,1,17,1,AC,
4,C,TROR,E,3,10,3,AC,
6,B,PEAI,E,3,32,6,AC,
6,A,HYGL,C,1,8,3,AC,
7,C,TRCY,C,3,10,0,AC,
6,B,TRCY,E,1,2,2,AC,
8,B,TROR,E,2,7,3,AC,
5,A,TROR,C,1,25,2,AC,
6,B,ARCA,E,1,1,7,AC,
3,B,PLDE,E,1,0,2,AC,
7,C,ARCA,E,1,7,0,AC,
8,C,TROR,C,3,58,3,AC,
1,A,VERO,C,2,13,1,AC,
7,C,PEAI,E,3,75,4,AC,
6,C,VERO,E,2,4,0,AC,"Not sure on ID (E2), was a detached bag"
3,B,TRCY,E,1,6,0,AC,
2,B,PLDE,E,2,0,0,AC,
1,A,PEAI,C,3,73,3,AC,
2,C,TROR,E,2,2,0,AC,"Stick says E2, checklist says T1 - 3, 7. Should be E2 after swap (original E2 was pulled out accidentally)"
2,B,ARCA,E,2,11,25,AC,
8,A,LARO,E,1,11,11,AC,3 flowers
7,B,HYGL,E,2,29,17,AC,
7,A,LARO,E,1,6,14,AC,
7,A,TRCY,T,1,9,0,AC,
7,A,TRCY,C,1,5,2,AC,
7,A,LARO,E,2,4,16,AC,
7,C,LARO,E,3,0,4,AC,2 flowers
7,A,HYGL,C,3,4,8,AC,
8,C,LARO,C,1,6,11,AC,3 flowers
5,B,LARO,C,2,5,7,AC,
7,C,LARO,C,1,1,0,AC,
7,C,TROR,C,2,3,0,AC,
2,A,VERO,C,2,3,2,AC,
7,B,LARO,C,3,8,3,AC,
7,C,TROR,E,2,5,1,AC,
4,C,ARCA,E,3,9,1,AC,
4,C,TRCY,E,2,10,0,AC,
4,A,TROR,T,2,4,0,AC,
5,B,TROR,C,1,2,0,AC,
5,B,TRCY,C,3,3,2,AC,
1,A,LARO,C,1,9,4,AC,
1,A,ARCA,E,2,13,2,AC,
1,A,TROR,C,1,1,1,AC,
1,A,TRCY,C,3,10,2,AC,
3,C,TRCY,T,1,8,9,AC,
3,C,TRCY,E,3,10,0,AC,
8,B,LARO,C,2,2,6,AC,
3,C,LARO,C,3,NA,NA,AC,"1 flower, likely missed seeds"
3,C,TROR,E,3,8,0,AC,"Assuming this is 3c, actually says c3 (in addition to tror e3)"
3,C,TROR,C,3,19,0,AC,
8,B,TRCY,C,2,7,3,AC,
1,C,PLDE,T,1,0,0,AC,
2,B,VERO,T,1,94,8,AC,
8,C,VERO,C,1,19,3,AC,
3,B,VERO,C,1,4,0,AC,
3,A,TRCY,E,3,4,0,AC,
8,A,TRCY,E,3,2,1,AC,
2,B,POLE,E,2,NA,NA,AC,"9 open flower heads, 4 small buds, missed?"
3,C,VERO,E,3,16,0,AC,
7,C,TRCY,E,2,8,1,AC,
3,C,PEAI,C,1,35,2,AC,
8,C,PEAI,E,1,178,0,AC,
2,A,VERO,E,1,8,1,AC,
8,C,ARCA,C,2,106,6,AC,
2,B,PLDE,E,1,50,3,AC,
7,B,HYGL,C,1,16,21,AC,
2,C,PEAI,C,2,40,2,AC,
6,A,TRCY,E,2,5,1,AC,
7,B,TROR,C,2,2,0,AC,
7,B,TRCY,C,2,8,1,AC,
4,A,PLDE,T,1,3,0,AC,
8,C,PEAI,C,1,64,7,AC,
7,C,TROR,E,1,0,2,AC,"Notes from somehwere, accidentally broke off seeds while trying to bag. Not sure where notes from yet"
3,A,TRCY,C,1,12,6,AC,
5,B,VERO,C,2,2,0,AC,
5,A,LARO,C,1,1,13,AC,
5,A,VERO,E,2,11,1,AC,
7,A,TRCY,E,1,17,1,AC,
8,B,LARO,C,2,5,8,AC,
1,B,ARCA,E,1,11,20,AC,
8,B,ARCA,E,2,2,14,AC,
1,B,HYGL,E,1,38,25,AC,
2,B,VERO,E,2,56,4,AC,packet 2/2
6,A,ARCA,C,3,0,6,AC,
1,C,PLDE,E,2,26,0,AC,
7,C,ARCA,E,2,5,1,AC,
8,A,PEAI,C,1,519,5,AC,
8,A,PEAI,E,3,71,3,AC,
7,A,VERO,E,2,11,1,AC,
1,C,VERO,C,3,36,0,AC,
8,A,VERO,E,1,14,2,AC,
6,A,VERO,E,2,5,0,AC,
1,A,TRCY,C,1,2,4,AC,
1,C,PEAI,C,3,50,24,AC,
1,C,TROR,C,2,0,1,AC,
1,B,PLDE,C,1,7,0,AC,
7,A,TRCY,E,3,2,0,AC,
8,A,LARO,E,3,0,6,AC,
2,A,TRCY,T,2,49,3,AC,
8,B,HYGL,E,2,0,0,AC,
7,B,TROR,C,1,1,1,AC,
1,C,LARO,C,3,7,1,AC,
2,C,HYGL,E,3,21,8,AC,
8,C,TRCY,T,2,9,3,AC,
2,C,POLE,C,4,120,50,AC,"10 flower heads, 3 buds; this was the accidental POLE plot, renamed from POLET2"
7,A,PEAI,C,3,60,8,AC,
7,A,POLE,E,1,125,20,AC,4 flowers
1,B,POLE,C,3,130,5,AC,3 flowers
7,C,VERO,C,2,6,1,AC,
2,C,POLE,E,3,35,20,AC,3 flowers
7,C,PEAI,T,1,35,0,AC,
8,C,VERO,E,2,17,4,AC,
3,B,LARO,E,3,3,26,AC,
6,B,VERO,C,2,39,1,AC,
2,B,TRCY,C,3,11,0,AC,
8,B,PEAI,C,3,444,0,AC,
8,C,LARO,C,3,2,0,AC,
4,C,LARO,C,2,0,0,AC,
4,C,PLDE,E,3,2,0,AC,
8,C,TRCY,C,1,14,1,AC,
4,C,LARO,E,1,0,1,AC,
4,A,PEAI,C,3,16,0,AC,
2,B,LARO,C,2,3,10,AC,
7,B,LARO,E,2,6,16,AC,
2,B,LARO,E,2,1,0,AC,No plant in envelope
3,C,PEAI,C,3,360,16,AC,
4,B,LARO,E,1,0,0,AC,
8,C,TRCY,C,2,6,0,AC,
6,B,POLE,E,1,1,0,AC,
5,B,TRCY,E,3,13,4,AC,
7,B,TRCY,E,2,7,2,AC,
7,B,TROR,T,1,4,0,AC,
6,C,VERO,E,3,37,5,AC,
2,A,TROR,C,2,1,1,AC,
2,A,TROR,C,3,2,2,AC,
2,C,ARCA,E,3,26,1,AC,
2,C,ARCA,T,2,2,2,AC,
2,B,TRCY,E,3,8,0,AC,
5,B,VERO,C,1,2,0,AC,
3,C,TRCY,E,2,6,0,AC,
2,B,PEAI,C,3,9,4,AC,
1,C,ARCA,C,1,0,12,AC,
5,C,TRCY,C,3,4,0,AC,
1,A,ARCA,C,3,0,20,AC,
2,C,TRCY,C,1,16,2,AC,
7,B,LARO,E,3,6,12,AC,
7,B,VERO,E,3,78,5,AC,
2,B,LARO,E,3,3,11,AC,
7,B,TROR,C,3,21,1,AC,
7,B,VERO,C,1,1,2,AC,
5,A,LARO,C,2,0,7,AC,
7,B,ARCA,C,1,4,7,AC,
7,A,ARCA,E,3,9,1,AC,
7,A,TRCY,T,2,31,2,AC,
1,C,VERO,C,1,17,8,AC,
7,B,VERO,E,1,44,9,AC,
7,B,PEAI,E,1,19,1,AC,
7,B,TRCY,E,1,10,1,AC,
7,B,ARCA,E,1,0,3,AC,
7,B,ARCA,E,2,23,2,AC,
7,B,TROR,E,3,8,2,AC,
7,B,TRCY,T,2,18,2,AC,
7,B,PEAI,E,3,72,0,AC,
7,B,TROR,E,2,5,2,AC,
7,B,ARCA,T,2,14,1,AC,
7,B,VERO,C,3,3,0,AC,
7,B,TRCY,E,3,45,4,AC,
7,B,VERO,T,2,15,3,AC,
4,C,TRCY,C,1,3,1,AC,
7,B,TRCY,C,3,2,0,AC,
7,B,PEAI,E,2,70,2,AC,
7,C,HYGL,C,2,4,8,AC,
6,C,VERO,E,3,4,0,AC,
6,B,TRCY,E,2,3,1,AC,
6,A,PEAI,E,3,42,0,AC,
4,C,LARO,E,2,1,2,AC,
6,B,TRCY,C,2,4,0,AC,
6,C,TRCY,C,2,4,0,AC,
6,B,VERO,E,2,4,0,AC,
4,C,TROR,T,1,16,5,AC,
4,C,PEAI,E,3,17,0,AC,
4,C,PLDE,C,2,3,0,AC,
6,B,ARCA,C,2,1,12,AC,
8,C,TRCY,C,1,65,3,AC,
6,C,ARCA,E,2,16,1,AC,
6,C,PEAI,T,1,47,1,AC,
2,A,PLDE,E,1,4,0,AC,
2,A,LARO,E,3,0,1,AC,
6,B,TROR,T,2,3,1,AC,
4,A,LARO,E,3,13,3,AC,
6,C,VERO,E,2,4,3,AC,
6,C,VERO,T,2,10,2,AC,
2,A,TRCY,E,2,1,5,AC,
6,B,HYGL,E,2,21,7,AC,
6,B,TRCY,E,3,7,3,AC,
6,B,TROR,E,1,11,0,AC,
6,B,VERO,C,1,39,0,AC,
3,C,LARO,E,3,55,44,AC,
3,C,TRCY,C,2,14,1,AC,
7,A,TROR,E,2,14,3,AC,
3,B,TRCY,UNKNOWN,UNKNOWN,3,0,AC,Probably TRCY E3 3B or TRCY C1!
7,B,ARCA,C,3,5,5,AC,
6,B,HYGL,E,1,31,16,AC,
6,C,VERO,C,1,8,0,AC,
6,C,PEAI,C,1,40,0,AC,
6,A,LARO,E,1,1,2,AC,
6,C,PEAI,E,1,62,0,AC,
6,A,TRCY,T,2,10,0,AC,
7,C,TRCY,C,1,3,0,AC,
5,B,VERO,UNKNOWN,UNKNOWN,5,2,AC,
6,C,HYGL,E,2,4,2,AC,
6,A,HYGL,E,3,25,9,AC,
4,C,ARCA,E,2,2,0,AC,
2,B,TRCY,E,1,10,2,AC,
4,C,HYGL,E,2,0,0,AC,
4,C,VERO,C,2,0,0,AC,
6,B,PEAI,E,2,20,2,AC,
6,B,LARO,E,1,1,2,AC,
4,C,TRCY,E,3,9,1,AC,
6,A,HYGL,C,3,1,4,AC,Miss some? One flower head
6,B,TROR,C,2,4,0,AC,
6,B,VERO,C,3,8,2,AC,
6,A,HYGL,C,3,17,11,AC,
6,A,TROR,C,2,2,0,AC,
6,A,TROR,E,1,3,1,AC,
6,A,VERO,T,2,4,0,AC,
6,A,HYGL,E,2,1,2,AC,
4,A,TRCY,T,2,2,1,AC,
4,A,TROR,T,1,2,2,AC,
6,A,TRCY,C,2,4,0,AC,
3,C,TRCY,E,3,43,9,AC,
2,B,HYGL,C,1,19,22,AC,
2,B,PLDE,C,3,4,1,AC,
6,A,TRCY,C,1,4,0,AC,
4,A,TRCY,C,2,2,1,AC,
4,B,LARO,C,1,1,5,AC,
6,B,LARO,C,2,0,3,AC,1 flower
4,C,ARCA,T,1,2,5,AC,
6,B,TROR,C,1,25,1,AC,
6,A,LARO,E,2,4,6,AC,1 flower head
4,B,TRCY,E,2,4,0,AC,
6,A,TROR,T,1,4,0,AC,
6,A,LARO,E,3,22,12,AC,2 flower heads
4,A,PLDE,E,3,2,0,AC,
6,C,POLE,C,2,0,22,AC,1 flower head
6,C,TROR,C,1,2,0,AC,
7,B,HYGL,C,2,47,36,AC,
7,B,ARCA,E,3,30,0,AC,
7,B,TRCY,C,1,3,1,AC,
1,B,PLDE,T,1,20,1,AC,
1,A,HYGL,C,3,10,12,AC,
1,B,TRCY,T,1,11,2,AC,
1,B,PLDE,C,3,14,0,AC,
1,B,TRCY,C,3,4,2,AC,
1,B,PLDE,C,2,4,0,AC,
7,B,TROR,C,1,3,0,AC,
4,C,TROR,E,1,4,0,AC,
4,A,PLDE,E,1,0,4,AC,
4,A,TRCY,E,2,1,1,AC,
1,A,LARO,E,1,9,12,AC,3 flower heads
1,B,TROR,E,3,16,0,AC,
1,B,ARCA,E,3,44,10,AC,
1,B,ARCA,E,2,9,4,AC,
1,B,LARO,T,1,11,7,AC,5 flowers
2,B,VERO,T,2,19,3,AC,
8,C,PEAI,E,2,98,0,AC,
7,A,LARO,E,3,1,6,AC,
7,B,LARO,E,1,11,13,AC,
4,A,PEAI,C,1,16,0,AC,
4,C,PLDE,E,2,8,0,AC,
6,A,LARO,C,1,0,2,AC,No plant in envelope
7,A,TROR,C,2,0,4,AC,
2,C,VERO,E,2,4,0,AC,
4,B,PLDE,C,3,0,2,AC,
4,B,PLDE,E,2,4,0,AC,
4,A,TRCY,E,3,2,0,AC,
2,B,TRCY,E,1,19,7,AC,
2,B,LARO,C,1,3,1,AC,
2,B,VERO,E,2,0,1,AC,
2,A,LARO,C,1,0,2,AC,
6,C,LARO,C,1,0,3,AC,
7,B,HYGL,E,1,56,23,AC,
7,A,VERO,E,3,4,0,AC,
7,A,TROR,T,2,2,0,AC,
7,A,TRCY,E,2,4,0,AC,
2,A,HYGL,C,1,0,7,AC,
4,C,LARO,C,3,NA,NA,AC,Looks like I missed them
4,C,PLDE,C,3,3,0,AC,
1,B,LARO,C,2,9,15,AC,
4,C,TRCY,E,1,4,2,AC,
5,B,VERO,E,3,2,0,AC,
5,B,LARO,E,2,0,3,AC,
5,B,TROR,C,3,5,0,AC,
4,C,HYGL,E,2,3,1,AC,
4,C,LARO,E,3,0,0,AC,
5,B,TROR,E,1,1,3,AC,
5,B,LARO,C,1,3,0,AC,1 flower head
2,C,TROR,E,1,2,0,AC,
4,B,VERO,E,3,2,0,AC,
4,B,HYGL,E,1,0,4,AC,
4,B,PLDE,C,2,3,0,AC,
1,B,HYGL,C,3,0,1,AC,
2,A,HYGL,E,3,6,0,AC,
4,A,HYGL,C,1,5,9,AC,
4,B,LARO,E,2,6,0,AC,1 flower head
4,B,LARO,E,3,0,5,AC,1 flower
1,C,ARCA,E,3,1,0,AC,No plant in envelope
5,A,TROR,C,2,4,0,AC,
1,A,PEAI,E,2,370,20,AC,
5,A,LARO,E,2,1,18,AC,2 flowers
3,C,PEAI,C,2,9,0,AC,
1,C,TRCY,E,2,0,2,AC,
8,C,LARO,T,1,NA,NA,AC,"1 flower head, looks like I missed them"
4,A,LARO,C,3,0,6,AC,1 flower
8,C,PEAI,C,3,268,0,AC,
1,A,TROR,T,2,2,1,AC,
8,C,PEAI,E,3,120,6,AC,
1,B,LARO,T,1,5,9,AC,"Non-viable seeds mostly eaten, no plant"
1,B,PEAI,C,1,380,20,AC,
4,B,TRCY,E,3,6,2,AC,
7,C,POLE,E,3,68,19,AC,2 flower heads
1,A,TROR,E,3,0,2,AC,
1,A,TRCY,E,3,2,1,AC,
4,B,PLDE,E,3,4,0,AC,
5,B,PEAI,C,2,90,10,AC,
4,B,TROR,E,1,2,0,AC,
7,C,POLE,E,1,27,140,AC,"4 flower heads, 1 'bud'"
5,A,POLE,E,1,101,43,AC,2 flower heads
8,B,PEAI,E,3,182,0,AC,"Mostly undeveloped (but plump), plant green"
3,B,PEAI,C,2,50,14,AC,
4,B,HYGL,E,1,4,2,AC,
6,C,HYGL,UNKNOWN,UNKNOWN,12,3,AC,"2 flowers, it's hygl but envelope said PEAI E3 6C"
2,C,POLE,C,2,54,60,AC,
7,A,PEAI,C,2,3,3,AC,
7,A,PEAI,E,3,4,2,AC,
1,B,PEAI,E,3,9,3,AC,
4,A,PEAI,T,2,17,3,AC,
4,B,LARO,T,2,0,0,AC,1 flower
6,B,POLE,E,2,0,0,AC,3 flowers
2,C,POLE,E,1,20,120,AC,5 flower heads
2,C,PEAI,C,1,0,2,AC,
7,C,PEAI,C,1,26,26,AC,
5,B,PEAI,E,3,100,20,AC,
5,B,PEAI,C,3,20,28,AC,
6,B,POLE,C,2,8,12,AC,"2 flowers, 3rd stem eaten?"
